"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"AC009690.1",29.3185005680043,-0.293737317594747,0.623936536953109,-0.470780760859374,0.637797304852671,0.739460160399352,"Not"
"AC009690.3",0.0956515041566457,-1.80144066714237,3.75866638198563,-0.479276552922132,0.631741900252567,NA,"Not"
"AC009779.3",174.954978698442,0.259214549181723,0.403937119955103,0.641720050909246,0.521054967926603,0.634995794879469,"Not"
"AC010132.3",2.39277208197281,-0.177769825792677,0.772521040095014,-0.230116484297713,0.818001255969889,0.878940365475615,"Not"
"AC010255.3",2.43729370018353,0.117196105106481,0.938692515840694,0.124850367003853,0.900642012205362,0.936583125368487,"Not"
"AC010319.2",0,NA,NA,NA,NA,NA,NA
"AC010323.1",2.1772686371382,-0.512565033755955,0.589769999315194,-0.869093094513311,0.384796213459527,0.503446898785455,"Not"
"AC010325.1",4.1371583094988,1.06395961440566,0.714174004699752,1.48977645140271,0.136283024889521,0.219805995240501,"Not"
"AC010326.2",4.19482361747979,1.02719888142188,0.649069156484886,1.58257232092926,0.113518976416427,0.189684245640238,"Not"
"AC010327.1",0.0143359349405095,0.0313141897445766,8.19826783081789,0.00381961048245634,0.996952399178226,NA,"Not"
"AC010422.3",169.646867265003,5.03542871221859,0.539404250030855,9.33516692152603,1.00832242454999e-20,1.61731439923941e-18,"Up"
"AC010422.5",0.0902364030598993,0.249659460503996,3.79874636224357,0.0657215398704707,0.947599523149301,NA,"Not"
"AC010422.6",73.1223458366558,-0.0717947022523128,0.257809706675351,-0.278479438102464,0.780644347039991,0.852837104164528,"Not"
"AC010463.1",0.0426719442073729,0.128354764259231,6.581805477042,0.0195014521026101,0.984441078653842,NA,"Not"
"AC010522.1",3.92175142251882,-1.36050452797716,0.544590409435602,-2.49821609856689,0.0124820077975161,0.0295058108347839,"Down"
"AC010531.1",7.39893179426849,0.213805412230492,0.535078311296008,0.399577795841951,0.689467513399229,0.782591053825406,"Not"
"AC010542.3",1.66674335265745,1.69960532657184,1.07014137547575,1.58820634873243,0.112239685974633,0.18788408432245,"Not"
"AC010547.4",0.0559099050354081,-0.568666868098045,5.12316482974671,-0.110999135689757,0.911617032117288,NA,"Not"
"AC010547.5",2.9836886092551,-0.545852473380575,0.546202095584853,-0.999359903216951,0.317620376368808,0.433036178113728,"Not"
"AC010615.4",0.0181247134825512,0.0313141897445765,8.19826783081789,0.00381961048245633,0.996952399178226,NA,"Not"
"AC010616.1",23.3965965315742,-4.44519210390615,0.524859646879624,-8.46929675453913,2.46878980630872e-17,1.93815625047173e-15,"Down"
